dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
chameleon,0,0.75,oracle_hetero_ratio,0.1,0.10013175230566534,0.7700742483139038,0.9762845635414124,0.5814668423364076,228.0,1324.0,228.0,1.0,0.17220543806646527,0.29381443298969073,0.17220543806646527,1.0,0.8847172260284424
chameleon,0,0.0,oracle_hetero_ratio,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.9762845849802372,342.0,2223.0,342.0,1.0,0.15384615384615385,0.2666666666666667,0.15384615384615385,1.0,0.7296041250228882
chameleon,0,0.5,oracle_hetero_ratio,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.8880105401844532,342.0,2022.0,342.0,1.0,0.16913946587537093,0.2893401015228427,0.16913946587537093,1.0,0.7759511470794678
chameleon,0,0.75,oracle_hetero_ratio,0.15,0.15019762845849802,0.7700742483139038,0.9762845635414124,0.5814668423364076,342.0,1324.0,342.0,1.0,0.2583081570996979,0.4105642256902761,0.2583081570996979,1.0,0.8713340163230896
chameleon,0,0.0,oracle_hetero_ratio,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.9762845849802372,455.0,2223.0,455.0,1.0,0.2046783625730994,0.3398058252427184,0.2046783625730994,0.9999250173568726,0.7123413681983948
chameleon,0,0.5,oracle_hetero_ratio,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.8880105401844532,455.0,2022.0,455.0,1.0,0.22502472799208703,0.36737989503431573,0.22502472799208703,0.9999250173568726,0.7598162889480591
chameleon,0,0.75,oracle_hetero_ratio,0.2,0.19982433025911286,0.7700742483139038,0.9762845635414124,0.5814668423364076,455.0,1324.0,455.0,1.0,0.34365558912386707,0.5115233277121979,0.34365558912386707,0.9999250173568726,0.8546422123908997
chameleon,0,0.0,oracle_hetero_ratio,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.9762845849802372,683.0,2223.0,683.0,1.0,0.307242465137202,0.47006194081211283,0.307242465137202,0.9773992896080017,0.679754376411438
chameleon,0,0.5,oracle_hetero_ratio,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.8880105401844532,683.0,2022.0,683.0,1.0,0.337784371909001,0.5049907578558226,0.337784371909001,0.9773992896080017,0.7304214239120483
chameleon,0,0.75,oracle_hetero_ratio,0.3,0.29995608256477824,0.7700742483139038,0.9762845635414124,0.5814668423364076,683.0,1324.0,683.0,1.0,0.5158610271903323,0.6806178375685102,0.5158610271903323,0.9773992896080017,0.826967716217041
chameleon,1,0.0,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.9762845849802372,114.0,2223.0,112.0,0.9824561403508771,0.05038236617183985,0.09584937954642704,0.050337078651685394,0.0,0.0
chameleon,1,0.5,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.8880105401844532,114.0,2022.0,102.0,0.8947368421052632,0.050445103857566766,0.09550561797752809,0.05014749262536873,0.0,0.0
chameleon,1,0.75,random,0.05,0.05006587615283267,0.7700742483139038,0.9762845635414124,0.5814668423364076,114.0,1324.0,73.0,0.6403508771929824,0.05513595166163142,0.10152990264255911,0.05347985347985348,0.0,0.0
